BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	3284	3284	3284
Contact period end (sample #):	7999	7999	7999	3323	3323	3323
Contact period start time (s):	0.000000	0.000000	0.000000	3.284000	3.284000	3.284000
Contact period end time (s):	7.999000	7.999000	7.999000	3.323000	3.323000	3.323000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:13:51
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.076000	1.573600	3.096439	655.793365	0.014358	-0.113710	-0.089183
0.077000	1.493832	2.936006	655.636230	0.333918	0.285091	2.764372
0.078000	2.097549	3.537411	660.009140	0.374302	0.365127	3.082020
0.079000	1.936800	3.337090	658.916519	0.293826	0.165497	2.131389
0.080000	1.413256	2.735684	654.700012	0.254028	0.285091	2.129238
0.081000	1.413659	2.735684	654.542969	0.094248	0.005885	1.338471
0.082000	2.097954	3.176213	659.383148	0.173845	0.285091	1.655537
0.083000	1.977695	3.095998	658.447662	-0.145422	-0.193516	-0.404281
0.084000	1.857033	2.936006	656.105438	0.213936	0.324879	1.338217
0.085000	1.776456	2.695355	654.853973	0.094248	0.085920	1.181576
0.086000	1.816947	2.614696	655.321396	0.333918	0.404915	2.922576
0.087000	2.461154	3.135884	659.384933	0.134046	0.085920	1.337560
0.088000	2.421068	3.055667	658.447769	0.254028	0.285550	2.764372
0.089000	1.857033	2.454262	654.386703	0.294119	0.325568	2.764044
0.090000	1.897523	2.534480	653.605240	0.134339	0.085920	1.023863
0.091000	2.461558	2.815017	658.445343	0.254028	0.285091	2.130478
0.092000	2.461558	2.815017	657.197266	0.014358	-0.073692	0.546771
0.093000	2.220233	2.534480	655.323975	0.134339	0.285091	0.863017
0.094000	2.179743	2.454262	654.697800	-0.145422	-0.153498	-0.880370
0.095000	2.059484	2.253941	653.759918	0.493991	0.405145	3.397356
0.096000	2.704096	2.815017	658.762131	0.174431	0.085920	1.970214
0.097000	2.502453	2.654583	657.356110	0.294119	0.285091	2.764372
0.098000	1.978908	2.093065	653.293350	0.174138	0.165726	2.288191
0.099000	2.019399	2.213612	653.137985	0.214229	0.205515	1.813412
0.100000	2.583433	2.453820	657.977478	0.214229	0.125709	1.180665
0.101000	2.583433	2.534036	657.199844	0.054449	-0.033903	0.705304
0.102000	2.180955	2.453820	655.012253	0.333918	0.444933	2.606168
0.103000	2.140869	2.293386	654.229828	0.014358	-0.073692	-0.564545
0.104000	1.939631	2.012847	653.292633	0.453899	0.404915	3.081438
0.105000	2.624329	2.614254	658.136230	0.214229	0.125709	1.653968
0.106000	2.382599	2.453820	657.356995	0.254028	0.285550	2.764372
0.107000	1.899544	2.052734	653.450592	0.294119	0.365127	2.763790
0.108000	1.899544	2.093065	653.135590	0.214229	0.085920	1.653968
0.109000	2.180955	2.373602	657.509338	0.174138	0.365127	2.288191
0.110000	2.140869	2.413489	656.418304	-0.065240	-0.153498	-0.247479
0.111000	1.939631	2.333273	654.543304	0.214229	0.365127	1.022461
0.112000	1.818563	2.052734	654.230621	0.054449	-0.033674	0.388238
0.113000	1.657411	2.012405	653.603821	0.414101	0.365127	3.081438
0.114000	2.423089	2.493707	658.447311	0.294119	0.245762	2.448126
0.115000	2.180955	2.333273	656.574646	0.254028	0.205515	2.447635
0.116000	1.859054	1.972518	653.604630	0.294119	0.325568	2.922576
0.117000	1.859054	2.052734	653.760880	0.054449	0.006114	0.704156
0.118000	2.180955	2.052292	656.571457	0.333918	0.405145	2.923234
0.119000	2.221850	2.293386	656.262848	-0.185221	-0.233074	-0.564216
0.120000	2.221850	2.132952	654.856873	0.214229	0.365127	1.497074
0.121000	2.020206	1.851971	653.605438	-0.265111	-0.153498	-1.039906
0.122000	1.980121	1.852415	653.449173	0.493991	0.484951	3.873957
0.123000	2.785885	2.373160	658.291855	0.134339	0.046132	1.338541
0.124000	2.745799	2.333273	657.511978	0.294119	0.245762	2.446724
0.125000	2.262341	1.932189	653.919968	0.293826	0.245762	2.764372
0.126000	2.423492	2.012405	655.012512	0.294119	0.245762	2.764044
0.127000	2.504070	1.972076	656.885010	0.294119	0.285550	2.446724
0.128000	2.745799	2.172395	657.356445	-0.185221	-0.113480	-0.405683
0.129000	2.544560	2.092621	655.639404	0.414101	0.524739	3.397938
0.130000	2.302831	1.731424	653.919968	-0.225312	-0.273092	-2.149071
0.131000	2.142082	1.610877	653.764420	0.414101	0.325568	3.239642
0.132000	2.866866	2.212282	659.076050	0.054449	0.046132	0.704484
0.133000	2.584646	2.052292	657.668320	0.414101	0.445162	3.397447
0.134000	2.343321	1.891858	654.703125	0.134339	0.245762	2.448126
0.135000	2.463984	1.891858	656.266388	0.254321	0.245762	2.764044
0.136000	2.383407	1.690651	656.417847	0.374302	0.365586	2.764539
0.137000	2.544560	2.052292	658.139755	-0.105038	-0.193056	-0.406012
0.138000	2.464388	1.972076	657.048187	0.294119	0.325568	2.129658
0.139000	2.142082	1.570548	654.702484	-0.225312	-0.193056	-1.198110
0.140000	2.101995	1.530217	654.233536	0.374302	0.484951	2.920846
0.141000	2.826780	2.091737	659.702225	0.134339	0.046132	0.864419
0.142000	2.625541	2.011963	657.984390	0.414101	0.445162	3.872717
0.143000	2.263148	1.771311	655.798325	0.214229	0.245762	2.604600
0.144000	2.504474	1.851086	657.048187	0.214229	0.205974	2.605511
0.145000	2.423492	1.610435	657.045700	0.254321	0.285780	2.132046
0.146000	2.746608	1.972076	658.610641	-0.065240	-0.073462	0.069350
0.147000	2.666031	2.011963	657.830704	0.294119	0.444933	2.605839
0.148000	2.302831	1.570548	655.173203	-0.265111	-0.193056	-1.832824
0.149000	2.423898	1.570548	655.170792	0.414101	0.484951	3.239642
0.150000	3.149086	2.091737	660.639648	0.134632	0.046362	1.338541
0.151000	2.866866	1.770869	658.141693	0.334503	0.285780	2.763553
0.152000	2.826780	1.771311	657.204620	0.214229	0.245992	2.446395
0.153000	2.907356	1.730982	657.829971	0.294119	0.205974	2.762313
0.154000	2.826375	1.570548	657.203003	0.254321	0.285550	2.606076
0.155000	3.229662	2.011963	659.546310	-0.185221	-0.113480	-0.882193
0.156000	3.189171	2.012405	659.080551	0.454192	0.524739	3.082020
0.157000	2.826375	1.531103	655.955002	-0.265111	-0.272862	-1.674712
0.158000	2.866866	1.610877	656.265274	0.294119	0.285780	1.971783
0.159000	3.511074	2.052292	661.265015	0.094541	-0.073692	0.705395
0.160000	3.188364	1.851971	658.768768	0.254321	0.325568	2.764372
0.161000	3.108191	1.731424	658.144440	0.174431	0.205974	2.130149
0.162000	3.269344	1.891858	658.453751	0.254321	0.125938	1.655537
0.163000	3.189171	1.490774	658.141876	0.414101	0.524968	4.351049
0.164000	3.551564	2.011963	660.798569	-0.105038	-0.153039	-0.405101
0.165000	3.470987	2.012405	660.017029	0.414101	0.445162	2.763553
0.166000	3.068105	1.571434	657.362808	-0.344708	-0.273092	-2.466390
0.167000	3.189171	1.691537	657.359604	0.493991	0.524968	4.189875
0.168000	3.632140	2.092621	662.201492	0.014943	0.046132	0.545952
0.169000	3.430497	1.972518	659.705246	0.414101	0.325798	3.080290
0.170000	3.430902	1.932189	659.080109	0.294119	0.205974	2.605511
0.171000	3.511477	1.932189	659.075851	0.374302	0.245762	2.764044
0.172000	3.309835	1.731424	657.669815	0.214229	0.245762	1.814069
0.173000	3.753208	2.293386	661.421555	0.094541	0.006573	0.862689
0.174000	3.873466	2.413489	660.641525	0.494283	0.564986	4.666967
0.175000	3.349921	1.892302	657.984985	-0.304910	-0.272862	-2.622373
0.176000	3.430497	1.892302	657.046112	0.414393	0.365586	3.082020
0.177000	3.873466	2.212726	661.418182	0.054449	0.006344	-0.089183
0.178000	3.631736	2.093065	659.859985	0.374302	0.325798	2.763553
0.179000	3.713121	2.253941	658.609482	0.214522	0.166185	1.656518
0.180000	3.752398	2.132952	659.075943	0.254321	0.205974	2.446395
0.181000	3.632140	2.012847	657.356415	0.254321	0.286009	2.288191
0.182000	4.276348	2.574367	661.575500	-0.064947	-0.113021	-0.562814
0.183000	4.316434	2.654583	661.731934	0.613679	0.564986	4.032161
0.184000	3.913956	2.294271	657.668381	-0.225020	-0.232845	-1.039578
0.185000	3.913956	2.214054	657.512039	0.333918	0.325568	2.447635
0.186000	4.316434	2.534480	661.104080	0.014943	0.006344	0.388238
0.187000	4.316434	2.534480	659.700531	0.414101	0.365586	3.715004
0.188000	4.397415	2.574809	659.076202	0.294705	0.285780	2.605839
0.189000	4.276348	2.494593	658.606369	0.214522	0.205974	2.130149
0.190000	4.115600	2.253941	657.509659	0.374302	0.325568	2.606168
0.191000	4.719721	2.936006	661.418518	-0.025148	-0.033674	-0.405101
0.192000	4.921364	2.936006	660.950302	0.534082	0.485180	3.872717
0.193000	4.397820	2.494593	658.137527	-0.264818	-0.232845	-1.357226
0.194000	4.478396	2.494593	657.669128	0.493991	0.445162	3.872717
0.195000	4.800702	2.574809	661.258972	0.014943	-0.033444	0.547682
0.196000	4.760616	2.776015	659.542755	0.254321	0.325798	2.130149
0.197000	4.761020	2.775572	659.074600	0.214522	0.205974	2.604600
0.198000	4.559376	2.454705	658.136642	0.134632	0.245762	1.653968
0.199000	4.318051	2.253941	656.416229	0.214522	0.245762	2.288191
0.200000	5.083326	2.895677	661.570862	-0.185221	-0.153039	-1.199258
0.201000	5.042835	2.975893	660.324295	0.613679	0.604774	4.822858
0.202000	4.640357	2.534922	657.824051	-0.345001	-0.272862	-3.259238
0.203000	4.720934	2.655469	657.508148	0.414101	0.445162	3.397447
0.204000	4.922173	2.735243	660.164780	0.054449	-0.073462	0.546442
0.205000	5.083326	2.895677	660.321915	0.414101	0.405604	2.605839
0.206000	5.083326	3.016224	659.385635	0.174431	0.086150	2.130478
