BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	3302	3302	3302
Contact period end (sample #):	7999	7999	7999	3365	3365	3365
Contact period start time (s):	0.000000	0.000000	0.000000	3.302000	3.302000	3.302000
Contact period end time (s):	7.999000	7.999000	7.999000	3.365000	3.365000	3.365000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:05:40
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.075000	3.656405	1.985571	655.766541	-0.115465	-0.118083	-1.386443
0.076000	4.179951	2.346325	660.142677	0.883306	0.799801	7.015943
0.077000	4.139865	2.266109	659.050850	-0.235154	-0.278154	-2.335436
0.078000	4.059692	2.226222	657.643295	0.523948	0.520136	4.795700
0.079000	3.736578	1.865024	655.922798	0.084406	0.001511	0.675666
0.080000	3.897731	1.865024	657.170975	0.444058	0.480348	4.003763
0.081000	4.260527	2.226222	659.361931	0.364168	0.240700	2.259701
0.082000	4.099374	2.105232	657.486954	0.364168	0.320735	2.892448
0.083000	3.656001	1.825137	654.672302	0.364168	0.360524	3.209513
0.084000	3.777068	1.744920	655.609398	-0.155264	-0.118313	-1.701450
0.085000	4.341103	2.306438	659.047646	0.643636	0.599942	4.953904
0.086000	4.058479	2.106117	657.174347	-0.115173	-0.078295	-0.909114
0.087000	3.897731	1.825137	654.985718	0.523948	0.480348	3.686115
0.088000	3.938221	1.744920	655.453133	0.204680	0.081317	1.784431
0.089000	4.220037	1.985128	658.578705	0.483856	0.440559	3.844319
