BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2453	2453	2453	2460	2460	2460
Contact period end (sample #):	4974	4974	4974	3686	3686	3686
Contact period start time (s):	2.453000	2.453000	2.453000	2.460000	2.460000	2.460000
Contact period end time (s):	4.974000	4.974000	4.974000	3.686000	3.686000	3.686000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:25:15
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.074000	0.465068	0.525191	-0.659002	0.083491	-0.016296	-0.408294
0.075000	0.626221	0.725069	1.996092	0.682812	0.423211	4.663116
0.076000	0.585731	0.805729	1.374805	0.323454	0.263370	1.969242
0.077000	0.505155	0.765399	0.594061	0.283655	0.183563	1.176486
0.078000	0.465068	0.604522	-0.189974	0.523325	0.303387	2.764311
0.079000	0.344002	0.524748	-0.815262	0.483234	0.343175	2.920877
0.080000	0.908037	0.845173	3.404531	0.483526	0.303387	3.713304
0.081000	0.746480	0.805286	1.373203	0.243271	0.263370	0.384716
0.082000	0.384492	0.644852	-0.343110	0.722904	0.463229	5.297173
0.083000	0.505155	0.644852	0.593176	0.363545	0.183793	1.335676
0.084000	0.504750	0.524748	0.433632	0.403636	0.223581	2.919146
0.085000	0.626221	0.765399	1.374088	0.483526	0.423211	3.395656
0.086000	0.666308	0.845173	1.062285	0.523618	0.263599	3.395656
0.087000	0.182444	0.284098	-1.281087	0.363545	0.143775	1.177143
0.088000	0.303915	0.484861	-1.594412	0.683105	0.423441	4.029550
0.089000	0.867547	0.804843	2.933901	0.363545	0.223811	2.920294
0.090000	0.625817	0.805286	0.905865	0.243856	0.183793	0.701782
0.091000	0.586135	0.805286	0.437801	0.363838	0.064199	1.493315
0.092000	0.424578	0.524748	-0.659002	0.643014	0.423441	3.555100
0.093000	0.384492	0.523863	-0.503379	0.323746	0.024410	1.019522
0.094000	0.827461	0.845173	2.311179	0.523618	0.423441	3.555100
0.095000	0.626221	0.804843	0.905148	0.483819	0.343864	3.871018
0.096000	0.384492	0.403759	-1.439666	0.403929	0.144234	2.603228
0.097000	0.384088	0.524748	-0.972407	0.483819	0.343864	2.761761
0.098000	0.625817	0.684739	2.308612	0.283948	0.144693	1.811528
0.099000	0.625817	0.804843	1.219270	0.523618	0.423441	3.555100
0.100000	0.666308	0.845173	1.529543	0.004479	-0.134972	-0.565425
0.101000	0.263021	0.323985	-1.284291	0.683691	0.583282	4.346708
0.102000	0.222935	0.404202	-1.440471	0.444021	0.184482	2.761433
0.103000	1.109680	1.166040	4.655108	0.643892	0.344323	3.712393
0.104000	0.626221	0.845173	0.592379	0.523911	0.344323	3.555100
0.105000	0.384492	0.604522	-0.189974	0.484112	0.264517	3.237123
0.106000	0.344002	0.524748	-0.347199	0.604093	0.463918	3.873077
0.107000	0.303107	0.403759	-0.502742	-0.075118	-0.214319	-1.199810
0.108000	0.827461	0.925390	2.154919	0.883562	0.703565	5.299162
0.109000	0.827461	0.845173	2.154839	0.124753	-0.174301	-0.250090
0.110000	0.062186	0.203438	-3.156864	0.484112	0.304535	2.761761
0.111000	0.222531	0.404202	-1.907897	0.444313	0.264517	3.396567
0.112000	0.908037	1.005164	3.716414	0.523911	0.344553	3.712485
0.113000	0.424174	0.685182	-0.187487	0.444021	0.264747	2.921205
0.114000	0.505155	0.644852	-0.189974	0.164845	0.065117	0.385627
0.115000	0.222935	0.323985	-1.907897	0.844056	0.663777	5.932636
0.116000	0.344002	0.363872	-0.972407	-0.155008	-0.293895	-2.786067
